device_id,user_id,device_type,os_version,first_used_date
D0000062,U000028,Mobile - iOS,v2,2024-11-29
D0000063,U000028,Desktop - Web,v2,2024-11-23
D0000064,U000029,Mobile - Android,v1,2024-04-02
D0000065,U000029,Tablet,v3,2024-04-12
D0000066,U000029,Smart TV,latest,2024-04-06
D0000067,U000030,Gaming Console,v1,2024-02-24
D0000068,U000030,Desktop - Web,v2,2024-02-23
D0000069,U000030,Mobile - Android,v3,2024-03-02
D0000070,U000031,Smart TV,v2,2025-12-08
D0000071,U000032,Mobile - Android,v3,2026-05-02
D0000072,U000032,Smart TV,latest,2026-05-03
D0000073,U000032,Desktop - Web,latest,2026-04-30
D0000074,U000032,Gaming Console,v1,2026-04-30
D0000075,U000033,Tablet,latest,2024-08-25
D0000076,U000033,Gaming Console,v3,2024-08-12
D0000077,U000034,Smart TV,v3,2024-12-01
D0000078,U000034,Tablet,v2,2024-12-16
D0000079,U000034,Gaming Console,latest,2024-12-08
D0000080,U000034,Desktop - Web,latest,2024-12-04
D0000081,U000035,Smart TV,v2,2026-03-07
D0000082,U000035,Desktop - Web,latest,2026-03-03
D0000083,U000035,Mobile - iOS,v3,2026-03-13
D0000084,U000035,Mobile - Android,v3,2026-03-11
D0000085,U000036,Mobile - Android,v1,2026-01-07
D0000086,U000037,Mobile - Android,latest,2023-08-12
D0000087,U000037,Mobile - iOS,v1,2023-08-12
D0000088,U000038,Mobile - Android,v3,2026-04-15
D0000089,U000038,Desktop - Web,v1,2026-04-17
D0000090,U000038,Tablet,latest,2026-04-20
D0000091,U000039,Gaming Console,latest,2024-01-25
D0000092,U000040,Desktop - Web,v1,2023-03-02
D0000093,U000040,Mobile - Android,latest,2023-02-22
D0000094,U000040,Smart TV,v2,2023-03-04
D0000095,U000041,Tablet,v1,2025-08-09
D0000096,U000041,Desktop - Web,latest,2025-08-09
D0000097,U000041,Gaming Console,v2,2025-08-03
D0000098,U000042,Desktop - Web,v1,2022-05-19
D0000099,U000043,Tablet,v2,2025-09-13
D0000100,U000044,Mobile - iOS,v3,2026-03-13
D0000101,U000045,Mobile - Android,v2,2025-05-14
D0000102,U000045,Mobile - iOS,v1,2025-05-01
D0000103,U000046,Tablet,v3,2026-02-28
D0000104,U000046,Mobile - Android,latest,2026-02-21
D0000105,U000046,Gaming Console,v2,2026-02-19
D0000106,U000046,Desktop - Web,v1,2026-02-21
D0000107,U000047,Mobile - Android,v3,2025-01-08
D0000108,U000048,Tablet,latest,2024-08-24
D0000109,U000048,Gaming Console,v3,2024-08-17
D0000110,U000048,Mobile - iOS,latest,2024-08-27
D0000111,U000049,Mobile - Android,v1,2025-04-23
D0000112,U000049,Gaming Console,v2,2025-04-22
D0000113,U000050,Mobile - iOS,v1,2025-11-08
D0000114,U000051,Desktop - Web,latest,2025-12-04
D0000115,U000051,Tablet,v1,2025-12-04
D0000116,U000052,Mobile - iOS,v1,2025-03-16
D0000117,U000053,Mobile - iOS,v2,2026-04-14
D0000118,U000054,Mobile - iOS,v2,2025-04-12
D0000119,U000054,Desktop - Web,latest,2025-04-02
D0000120,U000054,Gaming Console,v1,2025-03-24
D0000121,U000055,Mobile - Android,v3,2025-06-26
D0000122,U000055,Desktop - Web,latest,2025-07-04
D0000123,U000056,Gaming Console,v3,2025-04-08
D0000124,U000057,Gaming Console,latest,2025-08-17
D0000125,U000057,Smart TV,v1,2025-08-17
D0000126,U000057,Tablet,v1,2025-08-26
D0000127,U000058,Desktop - Web,v1,2024-10-10
D0000128,U000058,Mobile - iOS,v3,2024-10-27
D0000129,U000058,Tablet,v3,2024-10-28
D0000130,U000058,Gaming Console,v1,2024-10-10
D0000131,U000059,Gaming Console,latest,2026-02-12
D0000132,U000060,Mobile - Android,v1,2026-06-20
D0000133,U000060,Tablet,v2,2026-06-18
D0000134,U000060,Desktop - Web,v1,2026-07-01
D0000135,U000061,Gaming Console,v2,2025-12-26
D0000136,U000062,Gaming Console,v2,2023-11-23
D0000137,U000062,Mobile - Android,latest,2023-11-27
D0000138,U000063,Gaming Console,latest,2026-06-26
D0000139,U000064,Mobile - iOS,latest,2022-09-20
D0000140,U000064,Mobile - Android,v2,2022-09-13
D0000141,U000064,Tablet,v2,2022-09-18
D0000142,U000065,Mobile - Android,v1,2024-02-16
D0000143,U000065,Smart TV,latest,2024-02-06
D0000144,U000065,Mobile - iOS,v1,2024-02-15
D0000145,U000066,Mobile - iOS,v2,2025-09-11
D0000146,U000067,Smart TV,v3,2025-09-21
D0000147,U000067,Mobile - Android,latest,2025-10-01
D0000148,U000068,Smart TV,v3,2025-09-18
D0000149,U000068,Mobile - Android,v2,2025-09-27
D0000150,U000068,Gaming Console,latest,2025-09-15
D0000151,U000069,Mobile - Android,v1,2025-09-16
D0000152,U000069,Smart TV,v1,2025-09-17
D0000153,U000069,Tablet,latest,2025-09-03
D0000154,U000070,Tablet,v1,2026-01-18
D0000155,U000070,Desktop - Web,v3,2026-01-12
D0000156,U000071,Gaming Console,v2,2026-06-15
D0000157,U000071,Smart TV,v1,2026-06-14
D0000158,U000071,Tablet,v3,2026-06-09
D0000159,U000072,Desktop - Web,v1,2023-05-23
D0000160,U000073,Mobile - iOS,v1,2024-09-30
D0000161,U000074,Tablet,v1,2022-11-14
D0000162,U000074,Mobile - iOS,v1,2022-11-19
D0000163,U000075,Mobile - iOS,latest,2026-04-19
D0000164,U000075,Desktop - Web,v3,2026-04-25
D0000165,U000076,Desktop - Web,v3,2024-05-30
D0000166,U000076,Mobile - iOS,v3,2024-05-26
D0000167,U000076,Gaming Console,v1,2024-06-02
D0000168,U000077,Mobile - iOS,v2,2024-05-20
D0000169,U000077,Mobile - Android,latest,2024-05-21
D0000170,U000078,Smart TV,v3,2025-12-20
D0000171,U000079,Gaming Console,latest,2024-04-08
D0000172,U000079,Mobile - iOS,latest,2024-04-23
D0000173,U000079,Smart TV,v1,2024-04-17
D0000174,U000080,Desktop - Web,v2,2025-03-22
D0000175,U000080,Tablet,latest,2025-03-14
D0000176,U000081,Gaming Console,v1,2024-11-09
D0000177,U000082,Mobile - Android,v1,2025-09-13
D0000178,U000082,Tablet,latest,2025-09-18
D0000179,U000082,Smart TV,v1,2025-09-22
D0000180,U000082,Mobile - iOS,v1,2025-09-22
D0000181,U000083,Tablet,latest,2023-09-02
D0000182,U000083,Smart TV,v1,2023-08-23
D0000183,U000083,Mobile - iOS,latest,2023-08-22
D0000184,U000084,Mobile - Android,v3,2025-07-20
D0000185,U000085,Tablet,latest,2026-01-13
D0000186,U000085,Smart TV,v3,2026-01-18
D0000187,U000086,Mobile - Android,v2,2024-05-21
D0000188,U000087,Mobile - iOS,latest,2024-11-12
D0000189,U000088,Desktop - Web,v1,2026-06-15
D0000190,U000088,Smart TV,v2,2026-06-09
D0000191,U000088,Tablet,v3,2026-06-24
D0000192,U000088,Gaming Console,v2,2026-06-08
D0000193,U000089,Desktop - Web,v1,2025-08-31
D0000194,U000089,Mobile - iOS,v1,2025-08-23
D0000195,U000089,Tablet,v3,2025-08-18
D0000196,U000090,Smart TV,latest,2023-08-17
D0000197,U000090,Gaming Console,v3,2023-08-22
D0000198,U000091,Tablet,latest,2024-05-21
D0000199,U000091,Desktop - Web,v1,2024-05-27
D0000200,U000091,Gaming Console,v2,2024-05-26
D0000201,U000091,Mobile - iOS,v2,2024-05-18
D0000202,U000092,Smart TV,v3,2026-03-20
D0000203,U000092,Mobile - iOS,v1,2026-03-22
D0000204,U000093,Gaming Console,latest,2024-07-27
D0000205,U000094,Mobile - iOS,latest,2025-04-01
D0000206,U000094,Mobile - Android,latest,2025-04-02
D0000207,U000095,Smart TV,v2,2024-03-27
D0000208,U000095,Gaming Console,v1,2024-03-27
D0000209,U000096,Tablet,latest,2024-11-30
D0000210,U000096,Gaming Console,v1,2024-11-18
D0000211,U000097,Desktop - Web,latest,2024-02-03
D0000212,U000097,Smart TV,v2,2024-01-27
D0000213,U000097,Gaming Console,v3,2024-01-21
D0000214,U000098,Smart TV,latest,2025-09-16
D0000215,U000098,Gaming Console,latest,2025-09-16
D0000216,U000099,Tablet,v2,2024-05-07
D0000217,U000099,Desktop - Web,v1,2024-05-03
D0000218,U000099,Mobile - Android,v1,2024-05-01
D0000219,U000100,Mobile - Android,v1,2024-05-10
D0000220,U000100,Mobile - iOS,latest,2024-05-03
D0000221,U000100,Gaming Console,v1,2024-05-10
D0000222,U000101,Smart TV,v2,2026-07-07
D0000223,U000102,Gaming Console,latest,2023-11-17
D0000224,U000102,Mobile - iOS,v1,2023-11-26
D0000225,U000102,Desktop - Web,latest,2023-11-14
D0000226,U000103,Gaming Console,v1,2025-09-04
D0000227,U000104,Mobile - iOS,v3,2025-12-23
D0000228,U000104,Desktop - Web,latest,2026-01-04
D0000229,U000105,Tablet,v3,2025-07-25
D0000230,U000105,Mobile - iOS,v2,2025-07-23
D0000231,U000106,Gaming Console,v1,2026-05-18
D0000232,U000106,Mobile - iOS,v3,2026-05-19
D0000233,U000106,Mobile - Android,v1,2026-05-19
D0000234,U000107,Smart TV,latest,2025-09-22
D0000235,U000107,Gaming Console,v1,2025-09-22
D0000236,U000108,Smart TV,v2,2025-10-27
D0000237,U000108,Mobile - iOS,v1,2025-10-29
D0000238,U000108,Tablet,latest,2025-10-30
D0000239,U000108,Mobile - Android,v1,2025-10-14
D0000240,U000109,Gaming Console,v3,2026-07-17
D0000241,U000109,Tablet,latest,2026-07-07
D0000242,U000110,Tablet,v1,2023-02-24
D0000243,U000110,Desktop - Web,v1,2023-02-21
D0000244,U000111,Tablet,v3,2024-09-20
D0000245,U000112,Tablet,v2,2025-08-16
D0000246,U000112,Mobile - Android,v3,2025-08-19
D0000247,U000112,Gaming Console,latest,2025-08-22
D0000248,U000112,Mobile - iOS,v2,2025-08-12
D0000249,U000113,Tablet,v1,2024-03-09
D0000250,U000113,Mobile - iOS,v3,2024-03-24
D0000251,U000114,Mobile - Android,v3,2025-06-16
D0000252,U000114,Smart TV,v1,2025-06-19
D0000253,U000114,Mobile - iOS,v1,2025-06-24
D0000254,U000115,Mobile - Android,v3,2025-02-17
D0000255,U000115,Tablet,v2,2025-02-05
D0000256,U000116,Mobile - Android,v3,2023-10-24
D0000257,U000116,Gaming Console,latest,2023-11-12
D0000258,U000116,Smart TV,v2,2023-10-28
D0000259,U000116,Desktop - Web,v3,2023-11-03
D0000260,U000117,Mobile - iOS,latest,2024-11-28
D0000261,U000117,Gaming Console,v2,2024-11-14
D0000262,U000117,Mobile - Android,latest,2024-11-23
D0000263,U000118,Smart TV,latest,2025-01-08
D0000264,U000118,Gaming Console,v1,2025-01-14
D0000265,U000118,Tablet,v3,2025-01-23
D0000266,U000119,Mobile - iOS,v3,2023-03-30
D0000267,U000119,Mobile - Android,v2,2023-03-24
D0000268,U000119,Tablet,v2,2023-03-19
D0000269,U000120,Desktop - Web,latest,2024-08-05
D0000270,U000120,Mobile - iOS,v1,2024-08-08
D0000271,U000121,Desktop - Web,latest,2024-06-21
D0000272,U000121,Mobile - iOS,v2,2024-06-30
D0000273,U000122,Tablet,v1,2025-12-30
D0000274,U000122,Gaming Console,v3,2025-12-19
D0000275,U000123,Tablet,latest,2023-10-02
D0000276,U000124,Desktop - Web,v1,2025-11-12
D0000277,U000124,Gaming Console,latest,2025-11-16
D0000278,U000125,Mobile - iOS,v1,2026-04-26
D0000279,U000126,Gaming Console,v3,2023-10-26
D0000280,U000126,Smart TV,v2,2023-11-13
D0000281,U000127,Smart TV,v3,2023-02-11
D0000282,U000127,Mobile - iOS,latest,2023-02-19
D0000283,U000128,Gaming Console,v2,2026-04-09
D0000284,U000129,Tablet,v2,2023-01-17
D0000285,U000130,Mobile - iOS,v2,2026-02-18
D0000286,U000130,Mobile - Android,v1,2026-02-26
D0000287,U000130,Tablet,v3,2026-02-13
D0000288,U000131,Smart TV,v1,2026-03-26
D0000289,U000131,Desktop - Web,v2,2026-03-25
D0000290,U000131,Gaming Console,v3,2026-03-23
D0000291,U000131,Tablet,v3,2026-03-22
D0000292,U000132,Mobile - iOS,v2,2024-11-17
D0000293,U000133,Smart TV,v1,2024-09-23
D0000294,U000134,Tablet,v3,2024-02-26
D0000295,U000134,Gaming Console,v1,2024-02-15
D0000296,U000135,Gaming Console,v1,2024-05-02
D0000297,U000135,Mobile - Android,v2,2024-05-14
D0000298,U000135,Tablet,latest,2024-05-13
D0000299,U000136,Tablet,v3,2026-02-03
D0000300,U000137,Mobile - Android,latest,2026-05-05
D0000301,U000137,Gaming Console,latest,2026-05-15
D0000302,U000138,Gaming Console,v3,2024-11-28
D0000303,U000138,Desktop - Web,v3,2024-12-11
D0000304,U000138,Mobile - iOS,v3,2024-12-05
D0000305,U000139,Desktop - Web,v2,2026-06-25
D0000306,U000139,Gaming Console,v2,2026-07-02
D0000307,U000139,Smart TV,v3,2026-07-02
D0000308,U000140,Mobile - Android,v2,2025-11-17
D0000309,U000140,Tablet,v2,2025-11-07
D0000310,U000140,Mobile - iOS,v3,2025-11-13
D0000311,U000141,Gaming Console,latest,2024-06-14
D0000312,U000141,Desktop - Web,v2,2024-06-09
D0000313,U000142,Smart TV,v3,2024-05-30
D0000314,U000143,Tablet,v1,2022-09-28
D0000315,U000143,Mobile - iOS,v3,2022-09-28
D0000316,U000144,Gaming Console,v3,2024-05-28
D0000317,U000145,Smart TV,v3,2024-04-02
D0000318,U000146,Mobile - Android,latest,2025-09-28
D0000319,U000146,Desktop - Web,latest,2025-09-17
D0000320,U000147,Desktop - Web,v3,2025-01-31
D0000321,U000147,Mobile - Android,latest,2025-02-02
D0000322,U000148,Smart TV,v3,2023-03-30
D0000323,U000148,Gaming Console,v1,2023-04-15
D0000324,U000149,Mobile - iOS,latest,2026-01-15
D0000325,U000149,Mobile - Android,latest,2026-01-27
D0000326,U000150,Tablet,v1,2026-01-30
D0000327,U000151,Tablet,v2,2025-10-29
D0000328,U000152,Desktop - Web,v3,2026-05-10
D0000329,U000153,Gaming Console,v3,2024-04-28
D0000330,U000153,Smart TV,v1,2024-04-20
D0000331,U000154,Mobile - Android,v3,2026-04-02
D0000332,U000154,Desktop - Web,v2,2026-04-06
D0000333,U000154,Tablet,v3,2026-03-27
D0000334,U000154,Mobile - iOS,v1,2026-04-03
D0000335,U000155,Mobile - Android,v3,2026-02-05
D0000336,U000155,Smart TV,v1,2026-02-07
D0000337,U000156,Mobile - iOS,v1,2025-04-12
D0000338,U000157,Smart TV,v1,2025-06-09
D0000339,U000157,Mobile - iOS,latest,2025-06-13
D0000340,U000157,Tablet,v1,2025-06-14
D0000341,U000157,Gaming Console,latest,2025-06-27
D0000342,U000158,Smart TV,latest,2025-06-02
D0000343,U000159,Mobile - Android,v3,2024-11-08
D0000344,U000160,Tablet,latest,2025-08-24
D0000345,U000160,Mobile - iOS,v2,2025-08-27
D0000346,U000161,Tablet,v1,2023-09-22
D0000347,U000161,Mobile - iOS,v2,2023-09-21
D0000348,U000162,Gaming Console,v1,2025-07-31
D0000349,U000162,Mobile - iOS,latest,2025-08-16
D0000350,U000162,Smart TV,v2,2025-08-04
D0000351,U000162,Mobile - Android,latest,2025-08-01
D0000352,U000163,Mobile - Android,latest,2023-11-20
D0000353,U000163,Mobile - iOS,v3,2023-12-05
D0000354,U000163,Gaming Console,v2,2023-11-21
D0000355,U000163,Tablet,v2,2023-11-30
D0000356,U000164,Gaming Console,v2,2024-03-26
D0000357,U000165,Smart TV,v3,2026-06-24
D0000358,U000166,Desktop - Web,latest,2025-11-13
D0000359,U000166,Mobile - iOS,v3,2025-11-15
D0000360,U000166,Gaming Console,v1,2025-11-14
D0000361,U000167,Gaming Console,latest,2024-02-07
D0000362,U000167,Mobile - iOS,v2,2024-02-02
D0000363,U000167,Tablet,v3,2024-02-09
D0000364,U000167,Mobile - Android,v1,2024-02-03
D0000365,U000168,Gaming Console,v1,2024-12-28
D0000366,U000169,Mobile - iOS,v1,2022-05-08
D0000367,U000170,Tablet,v2,2024-08-30
D0000368,U000170,Mobile - iOS,v3,2024-08-26
D0000369,U000171,Gaming Console,v1,2026-02-14
D0000370,U000171,Mobile - Android,v3,2026-02-06
D0000371,U000172,Mobile - Android,v1,2026-03-14
D0000372,U000172,Smart TV,latest,2026-03-13
D0000373,U000173,Desktop - Web,v3,2023-05-13
D0000374,U000174,Gaming Console,v3,2025-06-20
D0000375,U000174,Desktop - Web,latest,2025-06-24
D0000376,U000175,Tablet,v2,2024-04-18
D0000377,U000175,Mobile - iOS,v2,2024-04-29
D0000378,U000176,Tablet,v3,2024-08-29
D0000379,U000177,Smart TV,latest,2025-06-04
D0000380,U000177,Mobile - iOS,v1,2025-06-03
D0000381,U000178,Tablet,v3,2026-05-11
D0000382,U000178,Gaming Console,v1,2026-05-11
D0000383,U000179,Mobile - Android,v2,2025-08-02
D0000384,U000179,Tablet,v2,2025-08-06
D0000385,U000179,Desktop - Web,v2,2025-07-31
D0000386,U000179,Smart TV,latest,2025-08-11
D0000387,U000180,Desktop - Web,v3,2026-03-11
D0000388,U000180,Mobile - iOS,latest,2026-03-30
D0000389,U000181,Mobile - Android,v3,2024-03-16
D0000390,U000181,Desktop - Web,v1,2024-03-22
D0000391,U000182,Mobile - Android,latest,2023-06-22
D0000392,U000182,Smart TV,v1,2023-06-19
D0000393,U000182,Desktop - Web,latest,2023-07-04
D0000394,U000183,Smart TV,v2,2025-06-14
D0000395,U000184,Gaming Console,v2,2025-03-06
D0000396,U000184,Desktop - Web,v1,2025-02-23
D0000397,U000184,Mobile - Android,v1,2025-02-17
D0000398,U000184,Mobile - iOS,v1,2025-03-03
D0000399,U000185,Gaming Console,latest,2025-10-27
D0000400,U000185,Mobile - iOS,v3,2025-10-30
D0000401,U000185,Desktop - Web,latest,2025-10-21
D0000402,U000185,Mobile - Android,v2,2025-10-28
D0000403,U000186,Tablet,v2,2025-09-04
D0000404,U000186,Smart TV,v3,2025-09-23
D0000405,U000186,Mobile - Android,v3,2025-09-07
D0000406,U000187,Mobile - iOS,v3,2023-08-28
D0000407,U000187,Gaming Console,latest,2023-08-27
D0000408,U000188,Mobile - iOS,latest,2024-10-01
D0000409,U000188,Mobile - Android,v3,2024-09-22
D0000410,U000189,Gaming Console,v1,2024-01-24
D0000411,U000189,Desktop - Web,v1,2024-01-24
D0000412,U000190,Mobile - iOS,v1,2022-09-26
D0000413,U000190,Gaming Console,v2,2022-09-25
D0000414,U000190,Mobile - Android,v3,2022-09-14
D0000415,U000190,Smart TV,latest,2022-09-23
D0000416,U000191,Mobile - iOS,v2,2023-04-08
D0000417,U000192,Smart TV,latest,2025-07-24
D0000418,U000192,Tablet,v2,2025-07-26
D0000419,U000193,Gaming Console,latest,2025-02-23
D0000420,U000193,Smart TV,v2,2025-02-25
D0000421,U000194,Mobile - iOS,v2,2026-01-02
D0000422,U000195,Desktop - Web,latest,2025-09-21
D0000423,U000195,Mobile - Android,v3,2025-09-17
D0000424,U000195,Smart TV,v2,2025-09-15
D0000425,U000196,Mobile - iOS,latest,2024-08-28
D0000426,U000196,Smart TV,v3,2024-08-23
D0000427,U000197,Gaming Console,v3,2025-08-08
D0000428,U000197,Tablet,v1,2025-08-27
D0000429,U000198,Mobile - Android,v2,2024-10-31
D0000430,U000198,Smart TV,latest,2024-11-14
D0000431,U000198,Gaming Console,v3,2024-11-16
D0000432,U000198,Mobile - iOS,v1,2024-11-08
D0000433,U000199,Mobile - iOS,v2,2024-06-19
D0000434,U000199,Smart TV,v1,2024-06-20
D0000435,U000200,Tablet,v3,2026-05-21
D0000436,U000201,Smart TV,v3,2022-10-06
D0000437,U000202,Tablet,v1,2023-12-10
D0000438,U000203,Desktop - Web,latest,2024-12-28
D0000439,U000204,Tablet,latest,2024-10-25
D0000440,U000204,Desktop - Web,v3,2024-11-03
D0000441,U000205,Tablet,latest,2025-01-31
D0000442,U000205,Mobile - iOS,latest,2025-02-06
D0000443,U000205,Mobile - Android,v3,2025-02-07
D0000444,U000206,Mobile - iOS,latest,2026-03-20
D0000445,U000206,Smart TV,v2,2026-03-07
D0000446,U000206,Desktop - Web,latest,2026-03-05
D0000447,U000206,Gaming Console,v2,2026-03-08
D0000448,U000207,Mobile - iOS,v2,2022-05-12
D0000449,U000207,Smart TV,v2,2022-05-20
D0000450,U000207,Desktop - Web,v3,2022-05-17
D0000451,U000208,Mobile - iOS,latest,2023-06-24
D0000452,U000209,Mobile - Android,v2,2025-07-07
D0000453,U000209,Desktop - Web,v1,2025-07-25
D0000454,U000210,Mobile - Android,latest,2024-02-23
D0000455,U000210,Mobile - iOS,latest,2024-02-24
D0000456,U000211,Gaming Console,v3,2026-07-14
D0000457,U000212,Smart TV,v2,2025-12-04
D0000458,U000212,Mobile - Android,v3,2025-12-04
D0000459,U000212,Mobile - iOS,v3,2025-12-14
D0000460,U000212,Desktop - Web,latest,2025-12-06
D0000461,U000213,Tablet,v2,2026-04-14
D0000462,U000214,Mobile - Android,latest,2023-06-05
D0000463,U000215,Smart TV,latest,2023-11-25
D0000464,U000215,Gaming Console,v2,2023-11-27
D0000465,U000215,Mobile - iOS,v1,2023-11-19
D0000466,U000215,Mobile - Android,latest,2023-11-20
D0000467,U000216,Mobile - iOS,v1,2024-12-17
D0000468,U000216,Smart TV,v2,2024-12-15
D0000469,U000216,Tablet,latest,2024-12-08
D0000470,U000217,Tablet,v3,2026-06-28
D0000471,U000217,Desktop - Web,v2,2026-06-24
D0000472,U000217,Mobile - Android,v2,2026-07-01
D0000473,U000218,Tablet,v1,2023-03-04
D0000474,U000219,Smart TV,v2,2025-07-14
D0000475,U000220,Gaming Console,v3,2025-11-12
D0000476,U000220,Mobile - Android,latest,2025-11-05
D0000477,U000221,Mobile - Android,v2,2025-05-20
D0000478,U000221,Gaming Console,latest,2025-06-05
D0000479,U000222,Gaming Console,latest,2022-07-26
D0000480,U000222,Tablet,latest,2022-07-29
D0000481,U000223,Desktop - Web,latest,2025-11-13
D0000482,U000224,Gaming Console,v3,2024-08-15
D0000483,U000225,Smart TV,v2,2026-02-23
D0000484,U000226,Smart TV,v2,2025-11-29
D0000485,U000227,Gaming Console,v1,2026-02-01
D0000486,U000228,Tablet,latest,2026-04-05
D0000487,U000229,Tablet,latest,2026-01-24
D0000488,U000230,Desktop - Web,v3,2025-12-14
D0000489,U000230,Mobile - Android,v3,2025-12-06
D0000490,U000231,Gaming Console,v3,2025-08-12
D0000491,U000232,Mobile - iOS,v3,2026-01-01
D0000492,U000233,Desktop - Web,v1,2025-12-06
D0000493,U000233,Tablet,v1,2025-12-12
D0000494,U000234,Smart TV,v1,2025-11-10
D0000495,U000234,Tablet,v1,2025-11-09
D0000496,U000235,Desktop - Web,latest,2025-01-13
D0000497,U000236,Tablet,v1,2022-11-03
D0000498,U000236,Mobile - Android,latest,2022-10-29
D0000499,U000236,Mobile - iOS,v3,2022-10-30
D0000500,U000236,Desktop - Web,latest,2022-11-03
D0000501,U000237,Mobile - iOS,latest,2024-10-15
D0000502,U000237,Tablet,v1,2024-10-15
D0000503,U000238,Tablet,v2,2024-01-08
D0000504,U000239,Gaming Console,v3,2026-06-08
D0000505,U000239,Smart TV,v2,2026-06-03
D0000506,U000240,Smart TV,v3,2022-04-11
D0000507,U000241,Mobile - iOS,v3,2025-12-18
D0000508,U000242,Gaming Console,v3,2025-05-06
D0000509,U000243,Gaming Console,v2,2026-03-23
D0000510,U000243,Tablet,v1,2026-03-12
D0000511,U000243,Desktop - Web,latest,2026-03-17
D0000512,U000243,Mobile - Android,v1,2026-03-21
D0000513,U000244,Tablet,latest,2023-06-11
D0000514,U000245,Gaming Console,latest,2026-05-13
D0000515,U000245,Mobile - iOS,latest,2026-05-13
D0000516,U000246,Mobile - Android,v3,2024-06-12
D0000517,U000246,Mobile - iOS,v1,2024-06-26
D0000518,U000247,Smart TV,v1,2026-06-06
D0000519,U000247,Gaming Console,latest,2026-06-06
D0000520,U000247,Mobile - iOS,latest,2026-06-06
D0000521,U000248,Tablet,v2,2026-03-15
D0000522,U000249,Mobile - iOS,v2,2024-06-30
D0000523,U000250,Desktop - Web,latest,2024-04-20
D0000524,U000250,Mobile - Android,v1,2024-05-03
D0000525,U000251,Smart TV,latest,2025-12-28
D0000526,U000252,Mobile - Android,v2,2025-01-03
D0000527,U000253,Smart TV,v3,2026-06-18
D0000528,U000254,Mobile - iOS,v2,2025-05-01
D0000529,U000255,Smart TV,v2,2024-11-17
D0000530,U000256,Desktop - Web,v3,2025-05-12
D0000531,U000256,Tablet,latest,2025-05-15
D0000532,U000256,Smart TV,v2,2025-05-04
