subscription_id,user_id,plan_type,monthly_price_usd,billing_cycle,start_date,end_date,status,auto_renew,cancellation_reason,is_free_trial
S0000040,U000030,Standard,15.49,Monthly,2024-02-22,2024-08-15,Cancelled,True,Temporary pause,True
S0000041,U000031,Basic,6.99,Monthly,2025-11-25,2026-06-30,Active,True,,False
S0000042,U000032,Standard,15.49,Monthly,2026-04-14,2026-05-17,Cancelled,True,Not enough content,False
S0000043,U000033,Standard,15.49,Monthly,2024-08-06,2025-08-06,Cancelled,True,Not enough content,True
S0000044,U000033,Premium,22.99,Monthly,2025-08-29,2026-06-30,Active,True,,False
S0000045,U000034,Mobile,3.99,Monthly,2024-11-30,2025-01-20,Cancelled,True,Found alternative,False
S0000046,U000034,Standard,15.49,Monthly,2025-02-17,2025-10-24,Cancelled,True,Low usage,False
S0000047,U000035,Standard,15.49,Monthly,2026-02-26,2026-04-25,Cancelled,True,Not enough content,True
S0000048,U000036,Mobile,3.99,Monthly,2025-12-29,2026-06-30,Cancelled,True,Price too high,False
S0000049,U000037,Standard,15.49,Monthly,2023-08-11,2023-12-15,Cancelled,True,Temporary pause,True
S0000050,U000038,Standard,15.49,Monthly,2026-04-14,2026-06-07,Cancelled,False,Low usage,False
S0000051,U000039,Mobile,3.99,Monthly,2024-01-13,2024-04-21,Cancelled,True,Not enough content,False
S0000052,U000040,Basic,6.99,Monthly,2023-02-13,2023-10-04,Cancelled,True,Price too high,False
S0000053,U000041,Standard,15.49,Monthly,2025-07-27,2025-10-12,Cancelled,False,Price too high,True
S0000054,U000042,Premium,22.99,Monthly,2022-05-04,2022-07-23,Cancelled,False,Price too high,False
S0000055,U000043,Basic,6.99,Monthly,2025-09-10,2026-02-07,Cancelled,True,Low usage,False
S0000056,U000044,Basic,6.99,Monthly,2026-02-23,2026-06-01,Cancelled,True,Price too high,True
S0000057,U000044,Standard,15.49,Monthly,2026-06-13,2026-06-30,Cancelled,False,Technical issues,False
S0000058,U000045,Standard,15.49,Monthly,2025-04-30,2025-07-27,Cancelled,True,Low usage,False
S0000059,U000046,Basic,6.99,Monthly,2026-02-10,2026-06-30,Active,True,,False
S0000060,U000047,Premium,22.99,Monthly,2024-12-24,2025-05-14,Cancelled,True,Low usage,False
S0000061,U000048,Standard,15.49,Monthly,2024-08-11,2024-11-06,Cancelled,False,Other,True
S0000062,U000048,Basic,6.99,Monthly,2025-02-22,2025-04-02,Cancelled,False,Price too high,False
S0000063,U000049,Basic,6.99,Monthly,2025-04-18,2025-07-13,Cancelled,False,Temporary pause,True
S0000064,U000050,Basic,6.99,Monthly,2025-10-27,2026-06-30,Active,True,,False
S0000065,U000051,Standard,15.49,Monthly,2025-11-24,2026-06-30,Cancelled,True,Price too high,True
S0000066,U000052,Standard,15.49,Monthly,2025-03-15,2025-05-15,Cancelled,True,Low usage,False
S0000067,U000053,Standard,15.49,Monthly,2026-04-03,2026-05-13,Cancelled,True,Low usage,False
S0000068,U000054,Standard,15.49,Monthly,2025-03-24,2025-05-27,Cancelled,True,Low usage,False
S0000069,U000055,Standard,15.49,Monthly,2025-06-17,2026-03-31,Cancelled,True,Found alternative,False
S0000070,U000056,Basic,6.99,Monthly,2025-03-23,2026-06-30,Active,True,,True
S0000071,U000057,Standard,15.49,Annual,2025-08-17,2025-11-11,Cancelled,False,Low usage,False
S0000072,U000058,Premium,22.99,Monthly,2024-10-09,2025-01-29,Cancelled,False,Price too high,False
S0000073,U000059,Basic,6.99,Monthly,2026-01-25,2026-06-30,Active,True,,False
S0000074,U000060,Standard,15.49,Monthly,2026-06-17,2026-06-30,Active,False,,True
S0000075,U000061,Basic,6.99,Monthly,2025-12-18,2026-06-30,Cancelled,False,Price too high,False
S0000076,U000062,Standard,15.49,Annual,2023-11-11,2024-04-03,Cancelled,True,Found alternative,False
S0000077,U000063,Mobile,3.99,Monthly,2026-06-12,2026-06-30,Cancelled,True,Not enough content,False
S0000078,U000064,Basic,6.99,Monthly,2022-09-01,2024-07-04,Cancelled,False,Low usage,False
S0000079,U000064,Standard,15.49,Monthly,2024-10-06,2025-03-11,Cancelled,True,Low usage,False
S0000080,U000064,Standard,15.49,Monthly,2025-06-12,2026-06-30,Active,True,,False
S0000081,U000065,Mobile,3.99,Monthly,2024-02-04,2025-01-30,Cancelled,False,Not enough content,False
S0000082,U000066,Premium,22.99,Monthly,2025-09-06,2026-06-30,Active,True,,False
S0000083,U000067,Standard,15.49,Monthly,2025-09-16,2026-02-12,Cancelled,False,Found alternative,False
S0000084,U000068,Standard,15.49,Monthly,2025-09-14,2026-02-24,Cancelled,False,Price too high,False
S0000085,U000069,Mobile,3.99,Monthly,2025-09-01,2026-01-31,Cancelled,True,Not enough content,False
S0000086,U000070,Premium,22.99,Monthly,2026-01-01,2026-06-30,Active,True,,False
S0000087,U000071,Premium,22.99,Monthly,2026-06-01,2026-06-30,Active,True,,True
S0000088,U000072,Standard,15.49,Monthly,2023-05-23,2024-02-27,Cancelled,True,Low usage,False
S0000089,U000072,Standard,15.49,Monthly,2024-03-03,2024-08-15,Cancelled,True,Not enough content,False
S0000090,U000073,Premium,22.99,Monthly,2024-09-30,2026-06-30,Active,True,,False
S0000091,U000074,Basic,6.99,Monthly,2022-11-08,2023-01-12,Cancelled,True,Price too high,False
S0000092,U000074,Standard,15.49,Monthly,2023-02-03,2023-06-13,Cancelled,True,Not enough content,False
S0000093,U000075,Standard,15.49,Monthly,2026-04-06,2026-06-06,Cancelled,True,Price too high,False
S0000094,U000076,Premium,22.99,Monthly,2024-05-20,2024-10-25,Cancelled,False,Price too high,False
S0000095,U000076,Premium,22.99,Monthly,2024-11-13,2025-09-15,Cancelled,False,Low usage,False
S0000096,U000077,Standard,15.49,Monthly,2024-05-04,2024-09-08,Cancelled,True,Technical issues,False
S0000097,U000078,Standard,15.49,Monthly,2025-12-13,2026-03-01,Cancelled,False,Technical issues,True
S0000098,U000079,Standard,15.49,Monthly,2024-04-05,2024-09-07,Cancelled,True,Price too high,False
S0000099,U000080,Standard,15.49,Monthly,2025-03-04,2025-07-18,Cancelled,True,Technical issues,True
S0000100,U000081,Premium,22.99,Monthly,2024-10-31,2026-03-12,Cancelled,True,Not enough content,False
S0000101,U000081,Standard,15.49,Monthly,2026-03-25,2026-06-30,Active,True,,False
S0000102,U000082,Premium,22.99,Monthly,2025-09-04,2026-04-21,Cancelled,True,Price too high,False
S0000103,U000083,Basic,6.99,Monthly,2023-08-14,2025-05-05,Cancelled,True,Not enough content,False
S0000104,U000084,Standard,15.49,Monthly,2025-07-16,2025-10-01,Cancelled,True,Price too high,False
S0000105,U000085,Mobile,3.99,Monthly,2026-01-06,2026-06-30,Active,True,,False
S0000106,U000086,Premium,22.99,Monthly,2024-05-20,2024-09-11,Cancelled,True,Temporary pause,True
S0000107,U000086,Basic,6.99,Monthly,2024-09-23,2025-03-09,Cancelled,True,Not enough content,False
S0000108,U000086,Standard,15.49,Monthly,2025-06-23,2025-08-22,Cancelled,True,Temporary pause,False
S0000109,U000087,Standard,15.49,Monthly,2024-11-12,2026-05-01,Cancelled,True,Not enough content,False
S0000110,U000087,Standard,15.49,Monthly,2026-05-30,2026-06-30,Active,True,,False
S0000111,U000088,Premium,22.99,Annual,2026-06-08,2026-06-30,Active,True,,False
S0000112,U000089,Standard,15.49,Monthly,2025-08-16,2025-10-13,Cancelled,True,Price too high,False
S0000113,U000089,Premium,22.99,Monthly,2026-01-11,2026-02-20,Cancelled,True,Price too high,False
S0000114,U000089,Basic,6.99,Annual,2026-03-16,2026-06-16,Cancelled,True,Price too high,False
S0000115,U000090,Standard,15.49,Monthly,2023-08-09,2023-09-09,Cancelled,True,Temporary pause,False
S0000116,U000091,Basic,6.99,Monthly,2024-05-10,2024-08-23,Cancelled,False,Not enough content,True
S0000117,U000092,Mobile,3.99,Monthly,2026-03-07,2026-06-30,Cancelled,True,Low usage,False
S0000118,U000093,Standard,15.49,Monthly,2024-07-26,2024-09-03,Cancelled,True,Low usage,True
S0000119,U000094,Premium,22.99,Monthly,2025-03-27,2025-05-07,Cancelled,False,Price too high,False
S0000120,U000095,Basic,6.99,Monthly,2024-03-22,2024-05-02,Cancelled,True,Price too high,True
S0000121,U000096,Basic,6.99,Monthly,2024-11-14,2026-02-02,Cancelled,False,Price too high,True
S0000122,U000097,Basic,6.99,Monthly,2024-01-19,2024-04-13,Cancelled,True,Price too high,False
S0000123,U000097,Premium,22.99,Monthly,2024-05-04,2025-03-31,Cancelled,True,Low usage,False
S0000124,U000098,Premium,22.99,Monthly,2025-09-05,2025-12-22,Cancelled,True,Found alternative,True
S0000125,U000099,Mobile,3.99,Monthly,2024-04-28,2024-06-08,Cancelled,False,Found alternative,False
S0000126,U000100,Premium,22.99,Monthly,2024-04-23,2025-01-06,Cancelled,True,Low usage,False
S0000127,U000101,Premium,22.99,Monthly,2026-06-24,2026-06-30,Active,True,,False
S0000128,U000102,Basic,6.99,Monthly,2023-11-11,2024-01-06,Cancelled,True,Price too high,False
S0000129,U000102,Mobile,3.99,Monthly,2024-04-23,2024-07-21,Cancelled,True,Not enough content,False
S0000130,U000103,Standard,15.49,Monthly,2025-08-21,2025-11-14,Cancelled,False,Low usage,True
S0000131,U000104,Mobile,3.99,Monthly,2025-12-17,2026-05-09,Cancelled,False,Price too high,False
S0000132,U000105,Standard,15.49,Monthly,2025-07-18,2025-08-23,Cancelled,True,Temporary pause,False
S0000133,U000105,Standard,15.49,Monthly,2025-10-26,2026-06-30,Cancelled,True,Low usage,False
S0000134,U000106,Basic,6.99,Monthly,2026-05-11,2026-06-30,Cancelled,True,Price too high,True
S0000135,U000107,Standard,15.49,Monthly,2025-09-10,2025-11-20,Cancelled,True,Price too high,False
S0000136,U000108,Premium,22.99,Monthly,2025-10-14,2026-06-13,Cancelled,True,Price too high,False
S0000137,U000109,Premium,22.99,Monthly,2026-06-29,2026-06-30,Active,True,,False
S0000138,U000110,Standard,15.49,Monthly,2023-02-09,2023-10-19,Cancelled,True,Other,False
S0000139,U000111,Premium,22.99,Monthly,2024-09-17,2025-03-15,Cancelled,True,Found alternative,True
S0000140,U000112,Standard,15.49,Monthly,2025-08-08,2026-06-30,Active,True,,False
S0000141,U000113,Basic,6.99,Monthly,2024-03-07,2025-08-04,Cancelled,True,Not enough content,True
S0000142,U000114,Premium,22.99,Monthly,2025-06-13,2026-06-30,Active,True,,False
S0000143,U000115,Standard,15.49,Monthly,2025-02-02,2025-07-12,Cancelled,True,Price too high,False
S0000144,U000115,Premium,22.99,Monthly,2025-10-18,2026-06-30,Active,True,,False
S0000145,U000116,Standard,15.49,Annual,2023-10-24,2026-06-30,Active,False,,False
S0000146,U000117,Standard,15.49,Monthly,2024-11-11,2026-06-30,Active,True,,False
S0000147,U000118,Premium,22.99,Annual,2025-01-07,2025-07-18,Cancelled,False,Not enough content,True
S0000148,U000119,Basic,6.99,Annual,2023-03-14,2023-08-20,Cancelled,True,Not enough content,False
S0000149,U000120,Standard,15.49,Monthly,2024-08-01,2025-11-15,Cancelled,False,Low usage,True
S0000150,U000121,Premium,22.99,Annual,2024-06-18,2024-09-13,Cancelled,True,Low usage,False
S0000151,U000122,Basic,6.99,Monthly,2025-12-14,2026-06-30,Active,False,,False
S0000152,U000123,Basic,6.99,Monthly,2023-09-23,2023-11-17,Cancelled,True,Temporary pause,True
S0000153,U000124,Basic,6.99,Monthly,2025-11-03,2026-06-23,Cancelled,True,Low usage,False
S0000154,U000125,Premium,22.99,Monthly,2026-04-08,2026-06-30,Active,True,,False
S0000155,U000126,Standard,15.49,Monthly,2023-10-25,2025-05-27,Cancelled,False,Temporary pause,False
S0000156,U000127,Basic,6.99,Monthly,2023-02-06,2023-12-27,Cancelled,True,Price too high,False
S0000157,U000128,Premium,22.99,Monthly,2026-03-31,2026-06-30,Cancelled,True,Not enough content,False
S0000158,U000129,Standard,15.49,Monthly,2023-01-07,2024-04-04,Cancelled,True,Temporary pause,False
S0000159,U000130,Mobile,3.99,Monthly,2026-02-08,2026-05-26,Cancelled,True,Low usage,True
S0000160,U000131,Standard,15.49,Monthly,2026-03-09,2026-06-30,Active,True,,True
S0000161,U000132,Standard,15.49,Monthly,2024-11-07,2025-10-04,Cancelled,True,Found alternative,False
S0000162,U000133,Standard,15.49,Monthly,2024-09-15,2025-01-31,Cancelled,False,Technical issues,True
S0000163,U000133,Premium,22.99,Monthly,2025-02-16,2026-03-18,Cancelled,True,Low usage,False
S0000164,U000134,Standard,15.49,Monthly,2024-02-15,2024-12-12,Cancelled,True,Technical issues,False
S0000165,U000135,Standard,15.49,Annual,2024-05-02,2024-11-22,Cancelled,True,Low usage,True
S0000166,U000136,Standard,15.49,Annual,2026-02-03,2026-05-17,Cancelled,False,Not enough content,False
S0000167,U000136,Standard,15.49,Annual,2026-06-26,2026-06-30,Active,True,,False
S0000168,U000137,Basic,6.99,Monthly,2026-05-03,2026-06-25,Cancelled,True,Low usage,False
S0000169,U000138,Basic,6.99,Monthly,2024-11-22,2025-11-16,Cancelled,False,Low usage,False
S0000170,U000139,Premium,22.99,Monthly,2026-06-17,2026-06-30,Active,True,,True
S0000171,U000140,Basic,6.99,Monthly,2025-11-02,2026-06-30,Active,True,,False
S0000172,U000141,Basic,6.99,Monthly,2024-06-03,2026-04-18,Cancelled,True,Price too high,True
S0000173,U000142,Standard,15.49,Monthly,2024-05-12,2025-05-31,Cancelled,True,Not enough content,False
S0000174,U000143,Basic,6.99,Monthly,2022-09-26,2022-12-15,Cancelled,True,Not enough content,True
S0000175,U000144,Premium,22.99,Monthly,2024-05-12,2024-07-05,Cancelled,True,Low usage,False
S0000176,U000145,Standard,15.49,Monthly,2024-03-16,2024-09-03,Cancelled,True,Found alternative,False
S0000177,U000146,Standard,15.49,Monthly,2025-09-15,2025-11-21,Cancelled,True,Price too high,False
S0000178,U000146,Premium,22.99,Monthly,2025-11-30,2026-02-24,Cancelled,False,Low usage,False
S0000179,U000147,Basic,6.99,Monthly,2025-01-23,2025-05-19,Cancelled,True,Price too high,False
S0000180,U000148,Standard,15.49,Monthly,2023-03-29,2024-04-12,Cancelled,True,Found alternative,False
S0000181,U000149,Mobile,3.99,Annual,2026-01-08,2026-06-30,Active,True,,False
S0000182,U000150,Basic,6.99,Monthly,2026-01-26,2026-06-18,Cancelled,True,Low usage,False
S0000183,U000151,Standard,15.49,Monthly,2025-10-17,2026-02-03,Cancelled,True,Low usage,False
S0000184,U000151,Premium,22.99,Monthly,2026-03-01,2026-06-30,Cancelled,True,Not enough content,False
S0000185,U000152,Mobile,3.99,Monthly,2026-04-29,2026-06-30,Active,True,,False
S0000186,U000153,Standard,15.49,Monthly,2024-04-18,2024-06-16,Cancelled,True,Not enough content,False
S0000187,U000153,Basic,6.99,Monthly,2024-07-01,2024-08-07,Cancelled,True,Not enough content,False
S0000188,U000154,Standard,15.49,Monthly,2026-03-21,2026-04-21,Cancelled,True,Price too high,False
S0000189,U000155,Standard,15.49,Monthly,2026-01-22,2026-04-10,Cancelled,False,Not enough content,False
S0000190,U000155,Standard,15.49,Monthly,2026-04-26,2026-06-30,Active,True,,False
S0000191,U000156,Premium,22.99,Monthly,2025-03-28,2026-05-13,Cancelled,True,Found alternative,False
S0000192,U000157,Premium,22.99,Monthly,2025-06-08,2026-02-20,Cancelled,True,Other,True
S0000193,U000158,Premium,22.99,Monthly,2025-06-01,2026-06-30,Active,False,,False
S0000194,U000159,Premium,22.99,Monthly,2024-11-04,2025-06-08,Cancelled,False,Price too high,True
S0000195,U000159,Standard,15.49,Monthly,2025-06-19,2025-08-25,Cancelled,False,Low usage,False
S0000196,U000159,Standard,15.49,Monthly,2025-09-24,2026-06-30,Active,True,,False
S0000197,U000160,Basic,6.99,Annual,2025-08-09,2026-05-23,Cancelled,True,Low usage,False
S0000198,U000161,Basic,6.99,Monthly,2023-09-16,2025-02-03,Cancelled,True,Not enough content,True
S0000199,U000162,Standard,15.49,Monthly,2025-07-31,2025-09-15,Cancelled,True,Not enough content,True
S0000200,U000162,Mobile,3.99,Monthly,2025-11-11,2026-06-20,Cancelled,False,Temporary pause,False
S0000201,U000163,Standard,15.49,Monthly,2023-11-17,2024-10-08,Cancelled,True,Low usage,False
S0000202,U000164,Mobile,3.99,Monthly,2024-03-15,2026-06-30,Active,True,,True
S0000203,U000165,Basic,6.99,Monthly,2026-06-06,2026-06-30,Cancelled,True,Not enough content,False
S0000204,U000166,Premium,22.99,Monthly,2025-10-27,2025-12-18,Cancelled,True,Other,False
S0000205,U000166,Standard,15.49,Monthly,2026-02-09,2026-05-25,Cancelled,True,Not enough content,False
S0000206,U000166,Premium,22.99,Monthly,2026-06-06,2026-06-30,Active,False,,False
S0000207,U000167,Standard,15.49,Monthly,2024-01-22,2024-10-12,Cancelled,True,Found alternative,True
S0000208,U000168,Basic,6.99,Annual,2024-12-11,2026-06-30,Active,True,,False
S0000209,U000169,Basic,6.99,Monthly,2022-04-26,2023-01-10,Cancelled,True,Found alternative,False
S0000210,U000170,Premium,22.99,Annual,2024-08-13,2026-06-30,Active,True,,False
S0000211,U000171,Mobile,3.99,Monthly,2026-02-01,2026-06-30,Active,True,,False
S0000212,U000172,Mobile,3.99,Monthly,2026-03-13,2026-05-30,Cancelled,False,Price too high,False
S0000213,U000173,Mobile,3.99,Monthly,2023-04-24,2023-07-09,Cancelled,True,Price too high,False
S0000214,U000173,Premium,22.99,Monthly,2023-08-17,2024-03-16,Cancelled,True,Low usage,False
S0000215,U000174,Mobile,3.99,Annual,2025-06-12,2025-07-13,Cancelled,True,Not enough content,True
S0000216,U000174,Standard,15.49,Monthly,2025-10-02,2026-05-06,Cancelled,True,Found alternative,False
S0000217,U000174,Standard,15.49,Monthly,2026-06-17,2026-06-30,Active,False,,False
S0000218,U000175,Basic,6.99,Monthly,2024-04-12,2024-11-07,Cancelled,True,Price too high,False
S0000219,U000176,Premium,22.99,Monthly,2024-08-26,2024-11-18,Cancelled,True,Low usage,False
S0000220,U000176,Premium,22.99,Monthly,2025-02-19,2025-03-28,Cancelled,True,Temporary pause,False
S0000221,U000177,Basic,6.99,Monthly,2025-05-23,2026-06-30,Active,False,,True
S0000222,U000178,Basic,6.99,Monthly,2026-04-23,2026-06-30,Active,True,,False
S0000223,U000179,Premium,22.99,Monthly,2025-07-24,2025-12-06,Cancelled,True,Temporary pause,False
S0000224,U000180,Basic,6.99,Monthly,2026-03-11,2026-06-30,Active,True,,False
S0000225,U000181,Standard,15.49,Monthly,2024-03-16,2024-06-22,Cancelled,True,Price too high,False
S0000226,U000181,Standard,15.49,Monthly,2024-08-22,2025-02-12,Cancelled,True,Found alternative,False
S0000227,U000182,Standard,15.49,Monthly,2023-06-19,2025-01-15,Cancelled,False,Low usage,False
S0000228,U000183,Standard,15.49,Monthly,2025-05-26,2026-03-25,Cancelled,False,Low usage,False
S0000229,U000183,Mobile,3.99,Monthly,2026-06-13,2026-06-30,Active,True,,False
S0000230,U000184,Standard,15.49,Monthly,2025-02-16,2025-08-27,Cancelled,False,Technical issues,False
S0000231,U000185,Basic,6.99,Monthly,2025-10-16,2025-11-21,Cancelled,True,Price too high,False
S0000232,U000186,Basic,6.99,Monthly,2025-09-04,2025-11-29,Cancelled,True,Temporary pause,False
S0000233,U000186,Basic,6.99,Monthly,2025-12-13,2026-06-15,Cancelled,True,Not enough content,False
S0000234,U000187,Standard,15.49,Monthly,2023-08-09,2024-04-22,Cancelled,True,Low usage,False
S0000235,U000188,Standard,15.49,Monthly,2024-09-18,2024-12-03,Cancelled,False,Technical issues,True
S0000236,U000188,Premium,22.99,Monthly,2025-01-06,2025-08-08,Cancelled,True,Price too high,False
S0000237,U000188,Mobile,3.99,Monthly,2025-08-25,2025-10-11,Cancelled,True,Found alternative,False
S0000238,U000189,Premium,22.99,Monthly,2024-01-17,2024-05-16,Cancelled,True,Found alternative,True
S0000239,U000190,Standard,15.49,Monthly,2022-09-14,2022-11-18,Cancelled,True,Price too high,True
S0000240,U000191,Standard,15.49,Monthly,2023-03-30,2024-08-13,Cancelled,True,Found alternative,False
S0000241,U000192,Premium,22.99,Monthly,2025-07-08,2026-04-04,Cancelled,True,Price too high,True
S0000242,U000193,Premium,22.99,Monthly,2025-02-19,2026-06-30,Active,True,,False
S0000243,U000194,Standard,15.49,Monthly,2025-12-20,2026-06-30,Active,True,,True
S0000244,U000195,Mobile,3.99,Annual,2025-09-04,2026-06-30,Cancelled,True,Found alternative,True
S0000245,U000196,Standard,15.49,Monthly,2024-08-22,2025-04-02,Cancelled,True,Price too high,True
S0000246,U000197,Standard,15.49,Monthly,2025-08-08,2026-03-28,Cancelled,False,Found alternative,False
S0000247,U000197,Standard,15.49,Monthly,2026-04-04,2026-06-03,Cancelled,True,Low usage,False
S0000248,U000198,Basic,6.99,Monthly,2024-10-29,2025-03-24,Cancelled,True,Price too high,False
S0000249,U000199,Basic,6.99,Monthly,2024-06-08,2024-10-05,Cancelled,True,Price too high,True
S0000250,U000199,Standard,15.49,Monthly,2024-10-29,2025-07-11,Cancelled,True,Temporary pause,False
S0000251,U000200,Standard,15.49,Monthly,2026-05-12,2026-06-30,Cancelled,True,Price too high,True
S0000252,U000201,Basic,6.99,Monthly,2022-09-19,2023-04-11,Cancelled,True,Price too high,False
S0000253,U000202,Standard,15.49,Annual,2023-11-25,2026-06-30,Active,True,,False
S0000254,U000203,Basic,6.99,Monthly,2024-12-13,2025-02-27,Cancelled,True,Price too high,False
S0000255,U000204,Premium,22.99,Monthly,2024-10-22,2025-08-07,Cancelled,True,Not enough content,False
S0000256,U000205,Standard,15.49,Monthly,2025-01-22,2025-03-19,Cancelled,True,Technical issues,False
S0000257,U000206,Premium,22.99,Monthly,2026-03-01,2026-05-10,Cancelled,True,Price too high,False
S0000258,U000207,Basic,6.99,Annual,2022-05-02,2022-07-01,Cancelled,True,Found alternative,True
S0000259,U000208,Basic,6.99,Annual,2023-06-14,2024-04-29,Cancelled,True,Found alternative,False
S0000260,U000209,Standard,15.49,Monthly,2025-07-07,2025-10-24,Cancelled,False,Price too high,True
S0000261,U000210,Mobile,3.99,Monthly,2024-02-19,2025-03-22,Cancelled,False,Technical issues,True
S0000262,U000211,Standard,15.49,Monthly,2026-06-26,2026-06-30,Active,True,,False
S0000263,U000212,Mobile,3.99,Monthly,2025-12-02,2026-03-07,Cancelled,True,Not enough content,False
S0000264,U000213,Mobile,3.99,Monthly,2026-04-04,2026-06-30,Cancelled,True,Price too high,True
S0000265,U000214,Basic,6.99,Monthly,2023-05-25,2023-08-16,Cancelled,False,Price too high,True
S0000266,U000215,Standard,15.49,Monthly,2023-11-09,2024-07-08,Cancelled,False,Price too high,False
S0000267,U000216,Standard,15.49,Monthly,2024-12-07,2025-03-15,Cancelled,True,Low usage,False
S0000268,U000217,Standard,15.49,Monthly,2026-06-24,2026-06-30,Cancelled,True,Low usage,True
S0000269,U000218,Mobile,3.99,Monthly,2023-02-13,2023-04-24,Cancelled,True,Temporary pause,False
S0000270,U000219,Standard,15.49,Monthly,2025-07-10,2026-06-30,Cancelled,True,Not enough content,False
S0000271,U000220,Standard,15.49,Annual,2025-10-28,2025-12-17,Cancelled,True,Price too high,False
S0000272,U000220,Basic,6.99,Monthly,2026-02-13,2026-04-03,Cancelled,True,Low usage,False
S0000273,U000220,Premium,22.99,Monthly,2026-04-18,2026-06-22,Cancelled,True,Temporary pause,False
S0000274,U000221,Standard,15.49,Monthly,2025-05-17,2026-06-30,Active,True,,False
S0000275,U000222,Standard,15.49,Monthly,2022-07-23,2023-05-30,Cancelled,True,Price too high,False
S0000276,U000222,Mobile,3.99,Monthly,2023-09-20,2025-07-12,Cancelled,True,Price too high,False
S0000277,U000223,Premium,22.99,Monthly,2025-10-30,2025-12-04,Cancelled,True,Found alternative,True
