user_id,signup_date,country,age,gender,acquisition_channel,signup_device,referral_user_id,campaign_id,email_opt_in
U000057,2025-08-17,Indonesia,30,Female,Paid Social,Desktop,,CMP0056,True
U000058,2024-10-09,USA,47,Male,Organic,Desktop,,CMP0050,True
U000059,2026-01-25,USA,28,Male,Influencer,Desktop,,CMP0054,True
U000060,2026-06-17,USA,27,Male,Influencer,Smart TV,,CMP0052,True
U000061,2025-12-18,Indonesia,31,Female,Organic,Desktop,,CMP0036,True
U000062,2023-11-11,UK,44,Male,Organic,Smart TV,,CMP0043,True
U000063,2026-06-12,South Korea,33,Male,Direct,Desktop,,CMP0046,True
U000064,2022-09-01,Germany,34,Female,Direct,Smart TV,,CMP0024,False
U000065,2024-02-04,Brazil,38,Female,Referral,Smart TV,,CMP0051,True
U000066,2025-09-06,India,23,Male,Organic,Tablet,,CMP0054,True
U000067,2025-09-16,USA,35,Female,Organic,Desktop,,CMP0018,True
U000068,2025-09-14,France,25,Male,Affiliate,Mobile,,CMP0048,True
U000069,2025-09-01,India,46,Male,Organic,Smart TV,,CMP0018,True
U000070,2026-01-01,Brazil,36,Female,Organic,Desktop,,CMP0027,True
U000071,2026-06-01,USA,38,Female,Organic,Desktop,,CMP0004,True
U000072,2023-05-23,South Korea,13,Male,Paid Social,Smart TV,,CMP0024,True
U000073,2024-09-30,France,39,Male,Paid Social,Desktop,,CMP0025,True
U000074,2022-11-08,Brazil,30,Female,Direct,Smart TV,,CMP0031,False
U000075,2026-04-06,Brazil,17,Female,Organic,Tablet,,CMP0034,True
U000076,2024-05-20,Canada,32,Female,TV/OTT,Smart TV,,CMP0053,False
U000077,2024-05-04,India,16,Male,Paid Search,Smart TV,,CMP0026,False
U000078,2025-12-13,USA,38,Male,TV/OTT,Smart TV,,CMP0050,False
U000079,2024-04-05,France,46,Male,Affiliate,Desktop,,CMP0012,True
U000080,2025-03-04,USA,14,Male,Paid Search,Desktop,,CMP0003,False
U000081,2024-10-31,USA,31,Female,TV/OTT,Tablet,,CMP0016,True
U000082,2025-09-04,USA,30,Male,Paid Social,Desktop,,CMP0042,True
U000083,2023-08-14,USA,13,Male,Affiliate,Mobile,,CMP0032,True
U000084,2025-07-16,Mexico,41,Female,TV/OTT,Mobile,,CMP0030,False
U000085,2026-01-06,France,38,Male,Paid Search,Mobile,,CMP0005,True
U000086,2024-05-20,India,52,Male,Organic,Desktop,,CMP0009,False
U000087,2024-11-12,India,36,Female,Organic,Mobile,,CMP0014,False
U000088,2026-06-08,Mexico,23,Male,Paid Search,Smart TV,,CMP0001,True
U000089,2025-08-16,Mexico,37,Female,Email,Mobile,,CMP0019,True
U000090,2023-08-09,Philippines,44,Male,Direct,Smart TV,,CMP0026,False
U000091,2024-05-10,Australia,27,Male,Paid Social,Smart TV,,CMP0058,True
U000092,2026-03-07,Australia,40,Male,Paid Social,Tablet,,CMP0015,False
U000093,2024-07-26,Philippines,13,Female,Organic,Mobile,,CMP0033,True
U000094,2025-03-27,Philippines,46,Male,TV/OTT,Desktop,,CMP0015,False
U000095,2024-03-22,Brazil,40,Female,Paid Search,Smart TV,,CMP0021,True
U000096,2024-11-14,Mexico,13,Female,Paid Social,Tablet,,CMP0038,False
U000097,2024-01-19,France,35,Male,Direct,Desktop,,CMP0042,False
U000098,2025-09-05,USA,13,Male,Influencer,Mobile,,CMP0030,True
U000099,2024-04-28,India,25,Male,Referral,Mobile,,CMP0015,True
U000100,2024-04-23,Indonesia,38,Female,Paid Search,Mobile,,CMP0013,True
U000101,2026-06-24,Brazil,30,Male,Organic,Smart TV,,CMP0027,False
U000102,2023-11-11,USA,44,Male,Paid Search,Tablet,,CMP0054,False
U000103,2025-08-21,India,32,Male,Paid Search,Desktop,,CMP0021,True
U000104,2025-12-17,USA,31,Male,Influencer,Tablet,,CMP0031,True
U000105,2025-07-18,India,42,Male,Referral,Desktop,U000013,CMP0041,True
U000106,2026-05-11,Brazil,28,Male,TV/OTT,Desktop,,CMP0007,False
U000107,2025-09-10,Brazil,31,Female,Organic,Mobile,,CMP0015,False
U000108,2025-10-14,Brazil,33,Male,Paid Search,Desktop,,CMP0012,True
U000109,2026-06-29,USA,31,Female,Influencer,Mobile,,CMP0006,True
U000110,2023-02-09,India,43,Male,Paid Social,Mobile,,CMP0059,True
U000111,2024-09-17,USA,25,Male,Organic,Smart TV,,CMP0060,True
U000112,2025-08-08,India,23,Female,Influencer,Mobile,,CMP0029,True
U000113,2024-03-07,Germany,21,Female,Organic,Tablet,,CMP0016,False
U000114,2025-06-13,USA,13,Female,Paid Search,Mobile,,CMP0045,True
U000115,2025-02-02,Indonesia,46,Male,Referral,Mobile,U000062,CMP0043,False
U000116,2023-10-24,Germany,22,Female,Organic,Smart TV,,CMP0060,False
U000117,2024-11-11,USA,29,Female,Influencer,Tablet,,CMP0052,True
U000118,2025-01-07,India,47,Other,Paid Search,Mobile,,CMP0020,True
U000119,2023-03-14,USA,30,Female,Paid Search,Mobile,,CMP0015,False
U000120,2024-08-01,USA,37,Male,Direct,Desktop,,CMP0002,False
U000121,2024-06-18,Indonesia,17,Female,Organic,Tablet,,CMP0051,False
U000122,2025-12-14,Germany,45,Male,Paid Search,Mobile,,CMP0036,True
U000123,2023-09-23,South Korea,30,Male,Paid Social,Desktop,,CMP0048,True
U000124,2025-11-03,Mexico,21,Female,Organic,Mobile,,CMP0002,False
U000125,2026-04-08,Indonesia,21,Male,Paid Search,Mobile,,CMP0014,True
U000126,2023-10-25,Indonesia,48,Male,Paid Social,Mobile,,CMP0024,True
U000127,2023-02-06,USA,26,Male,TV/OTT,Desktop,,CMP0015,False
U000128,2026-03-31,USA,22,Male,Paid Social,Smart TV,,CMP0012,True
U000129,2023-01-07,India,27,Female,Paid Social,Mobile,,CMP0057,True
U000130,2026-02-08,India,32,Female,Affiliate,Desktop,,CMP0052,True
U000131,2026-03-09,Brazil,33,Female,Organic,Smart TV,,CMP0029,True
U000132,2024-11-07,UK,36,Female,Organic,Mobile,,CMP0005,False
U000133,2024-09-15,South Korea,34,Male,Paid Social,Mobile,,CMP0032,True
U000134,2024-02-15,USA,38,Female,Affiliate,Tablet,,CMP0053,True
U000135,2024-05-02,South Korea,29,Male,Paid Search,Mobile,,CMP0020,True
U000136,2026-02-03,India,52,Female,Organic,Mobile,,CMP0026,False
U000137,2026-05-03,USA,27,Female,Referral,Mobile,U000084,CMP0039,True
U000138,2024-11-22,Philippines,45,Other,Referral,Desktop,U000097,CMP0029,False
U000139,2026-06-17,India,26,Female,TV/OTT,Desktop,,CMP0059,False
U000140,2025-11-02,France,17,Male,Influencer,Tablet,,CMP0002,True
U000141,2024-06-03,Philippines,15,Female,Referral,Desktop,U000106,CMP0017,True
U000142,2024-05-12,USA,35,Male,Paid Social,Mobile,,CMP0044,True
U000143,2022-09-26,UK,43,Female,Direct,Mobile,,CMP0030,True
U000144,2024-05-12,USA,20,Male,Referral,Smart TV,U000096,CMP0043,False
U000145,2024-03-16,USA,23,Female,Organic,Smart TV,,CMP0060,False
U000146,2025-09-15,Nigeria,35,Female,Referral,Desktop,U000008,CMP0040,True
U000147,2025-01-23,South Korea,31,Male,Organic,Desktop,,CMP0037,False
U000148,2023-03-29,India,26,Male,Influencer,Mobile,,CMP0011,True
U000149,2026-01-08,France,19,Male,Direct,Desktop,,CMP0033,False
U000150,2026-01-26,Indonesia,35,Male,Organic,Mobile,,CMP0027,True
U000151,2025-10-17,UK,38,Male,Organic,Smart TV,,CMP0027,False
U000152,2026-04-29,USA,36,Female,Influencer,Smart TV,,CMP0050,True
U000153,2024-04-18,Australia,32,Female,Influencer,Tablet,,CMP0013,True
U000154,2026-03-21,France,21,Female,Affiliate,Mobile,,CMP0001,True
U000155,2026-01-22,USA,35,Male,Paid Social,Mobile,,CMP0003,False
U000156,2025-03-28,Brazil,34,Female,Email,Desktop,,CMP0046,True
U000157,2025-06-08,USA,18,Female,Affiliate,Desktop,,CMP0038,False
U000158,2025-06-01,Mexico,28,Male,Email,Desktop,,CMP0046,False
U000159,2024-11-04,Germany,35,Male,Paid Search,Desktop,,CMP0023,True
U000160,2025-08-09,UK,31,Female,Paid Search,Mobile,,CMP0057,True
U000161,2023-09-16,South Korea,13,Male,Paid Social,Mobile,,CMP0008,False
U000162,2025-07-31,India,25,Male,Referral,Desktop,U000056,CMP0035,True
U000163,2023-11-17,France,24,Female,Organic,Smart TV,,CMP0042,True
U000164,2024-03-15,Germany,37,Male,Organic,Mobile,,CMP0020,True
U000165,2026-06-06,India,57,Female,Influencer,Mobile,,CMP0024,True
U000166,2025-10-27,Canada,33,Male,Paid Social,Mobile,,CMP0004,True
U000167,2024-01-22,USA,20,Male,Organic,Tablet,,CMP0032,True
U000168,2024-12-11,Japan,30,Female,Paid Search,Mobile,,CMP0052,True
U000169,2022-04-26,Germany,32,Male,Influencer,Mobile,,CMP0035,True
U000170,2024-08-13,UK,39,Male,Organic,Smart TV,,CMP0033,True
U000171,2026-02-01,Nigeria,44,Female,Paid Social,Mobile,,CMP0048,True
U000172,2026-03-13,Australia,45,Female,Paid Social,Mobile,,CMP0019,True
U000173,2023-04-24,USA,37,Female,Direct,Smart TV,,CMP0031,True
U000174,2025-06-12,USA,31,Female,Referral,Desktop,U000104,CMP0052,True
U000175,2024-04-12,Brazil,46,Female,Referral,Desktop,U000083,CMP0035,True
U000176,2024-08-26,USA,28,Male,Referral,Desktop,U000044,CMP0043,True
U000177,2025-05-23,Nigeria,32,Male,Direct,Desktop,,CMP0031,False
U000178,2026-04-23,Germany,29,Male,Organic,Mobile,,CMP0006,False
U000179,2025-07-24,USA,13,Male,Organic,Tablet,,CMP0038,True
U000180,2026-03-11,India,44,Male,Organic,Mobile,,CMP0039,True
U000181,2024-03-16,UK,38,Female,TV/OTT,Mobile,,CMP0005,True
U000182,2023-06-19,Brazil,13,Female,Referral,Mobile,U000103,CMP0051,True
U000183,2025-05-26,UK,42,Male,Organic,Desktop,,CMP0050,True
U000184,2025-02-16,Australia,28,Female,Paid Search,Desktop,,CMP0016,True
U000185,2025-10-16,France,41,Female,Paid Social,Desktop,,CMP0025,True
U000186,2025-09-04,Indonesia,32,Male,Organic,Smart TV,,CMP0014,True
U000187,2023-08-09,USA,18,Male,Paid Social,Mobile,,CMP0053,True
U000188,2024-09-18,India,32,Male,Organic,Desktop,,CMP0057,True
U000189,2024-01-17,South Korea,23,Male,Referral,Mobile,U000112,CMP0030,True
U000190,2022-09-14,India,19,Male,Paid Search,Tablet,,CMP0043,True
U000191,2023-03-30,India,40,Female,Paid Search,Smart TV,,CMP0012,True
U000192,2025-07-08,South Africa,35,Female,Organic,Mobile,,CMP0054,True
U000193,2025-02-19,South Korea,46,Female,Affiliate,Mobile,,CMP0023,True
U000194,2025-12-20,Philippines,28,Male,Referral,Mobile,U000169,CMP0022,False
U000195,2025-09-04,India,22,Female,Email,Mobile,,CMP0012,False
U000196,2024-08-22,Mexico,38,Male,Referral,Smart TV,U000149,CMP0056,True
U000197,2025-08-08,India,23,Male,Affiliate,Mobile,,CMP0003,False
U000198,2024-10-29,India,28,Male,Paid Search,Mobile,,CMP0036,True
U000199,2024-06-08,USA,37,Male,Organic,Mobile,,CMP0026,False
U000200,2026-05-12,Philippines,30,Female,Affiliate,Mobile,,CMP0034,True
U000201,2022-09-19,India,27,Male,Organic,Mobile,,CMP0052,True
U000202,2023-11-25,Mexico,17,Male,Affiliate,Smart TV,,CMP0016,False
U000203,2024-12-13,Philippines,41,Female,Organic,Smart TV,,CMP0031,True
U000204,2024-10-22,South Korea,28,Male,Organic,Desktop,,CMP0002,True
U000205,2025-01-22,USA,38,Female,Paid Social,Smart TV,,CMP0039,False
U000206,2026-03-01,Mexico,36,Female,TV/OTT,Smart TV,,CMP0032,True
U000207,2022-05-02,Brazil,42,Male,Referral,Mobile,U000042,CMP0034,True
U000208,2023-06-14,UK,29,Male,Referral,Smart TV,U000202,CMP0059,False
U000209,2025-07-07,USA,28,Male,Influencer,Smart TV,,CMP0023,True
U000210,2024-02-19,Mexico,20,Female,Paid Social,Smart TV,,CMP0024,True
U000211,2026-06-26,South Korea,26,Female,Referral,Mobile,U000202,CMP0040,False
U000212,2025-12-02,Nigeria,35,Female,Paid Social,Desktop,,CMP0057,True
U000213,2026-04-04,India,23,Female,Direct,Mobile,,CMP0018,True
U000214,2023-05-25,India,35,Male,Referral,Smart TV,U000157,CMP0004,True
U000215,2023-11-09,USA,46,Female,Paid Search,Smart TV,,CMP0025,True
U000216,2024-12-07,South Africa,27,Female,Paid Search,Desktop,,CMP0014,True
U000217,2026-06-24,Philippines,18,Male,Affiliate,Smart TV,,CMP0028,False
U000218,2023-02-13,Nigeria,27,Female,Paid Social,Mobile,,CMP0018,False
U000219,2025-07-10,Brazil,17,Female,Organic,Desktop,,CMP0023,True
U000220,2025-10-28,USA,45,Female,Affiliate,Mobile,,CMP0023,False
U000221,2025-05-17,Mexico,32,Female,Paid Social,Desktop,,CMP0014,True
U000222,2022-07-23,India,24,Female,Organic,Mobile,,CMP0034,False
U000223,2025-10-30,India,26,Female,Paid Search,Mobile,,CMP0007,True
U000224,2024-08-10,USA,20,Male,Referral,Mobile,U000208,CMP0051,False
U000225,2026-02-07,USA,42,Female,Organic,Mobile,,CMP0038,False
U000226,2025-11-17,India,50,Female,Email,Tablet,,CMP0035,False
U000227,2026-01-16,Indonesia,17,Female,Paid Social,Mobile,,CMP0015,True
U000228,2026-03-20,France,42,Female,Paid Search,Tablet,,CMP0008,True
U000229,2026-01-21,Japan,29,Male,Direct,Desktop,,CMP0020,False
U000230,2025-11-26,UK,44,Male,Affiliate,Smart TV,,CMP0003,True
U000231,2025-07-26,Japan,13,Male,TV/OTT,Smart TV,,CMP0018,False
U000232,2025-12-27,India,34,Male,Direct,Mobile,,CMP0042,True
U000233,2025-11-27,USA,27,Female,Paid Search,Mobile,,CMP0043,True
U000234,2025-10-30,India,38,Male,Paid Search,Mobile,,CMP0043,True
U000235,2025-01-10,USA,32,Male,Email,Desktop,,CMP0024,False
U000236,2022-10-19,Philippines,32,Female,Organic,Desktop,,CMP0001,True
U000237,2024-10-04,Philippines,30,Female,Paid Social,Smart TV,,CMP0049,True
U000238,2023-12-24,UK,47,Male,Affiliate,Desktop,,CMP0006,False
U000239,2026-05-23,Mexico,30,Male,Influencer,Mobile,,CMP0025,False
U000240,2022-03-28,India,40,Female,Referral,Mobile,U000193,CMP0053,True
U000241,2025-12-14,USA,38,Male,Organic,Smart TV,,CMP0050,True
U000242,2025-04-27,Germany,40,Female,Affiliate,Desktop,,CMP0036,True
U000243,2026-03-07,Japan,21,Female,Affiliate,Mobile,,CMP0038,False
U000244,2023-06-06,South Korea,39,Female,Organic,Smart TV,,CMP0028,True
U000245,2026-05-07,USA,35,Male,Organic,Mobile,,CMP0026,True
U000246,2024-06-11,Brazil,20,Female,Paid Social,Mobile,,CMP0006,True
U000247,2026-05-30,USA,29,Male,Affiliate,Mobile,,CMP0052,False
U000248,2026-03-01,USA,54,Female,Referral,Mobile,U000145,CMP0017,True
U000249,2024-06-25,USA,28,Male,Paid Social,Mobile,,CMP0034,True
U000250,2024-04-14,USA,28,Male,Direct,Smart TV,,CMP0044,True
U000251,2025-12-17,Canada,36,Female,Referral,Desktop,U000030,CMP0052,True
U000252,2024-12-17,India,26,Male,Organic,Tablet,,CMP0035,True
U000253,2026-06-01,France,33,Male,Referral,Mobile,U000026,CMP0004,False
U000254,2025-04-24,Canada,27,Male,Organic,Mobile,,CMP0033,True
U000255,2024-11-10,USA,36,Female,Organic,Desktop,,CMP0027,False
U000256,2025-05-03,Nigeria,31,Male,Affiliate,Desktop,,CMP0048,True
U000257,2025-08-08,Philippines,51,Male,Paid Social,Desktop,,CMP0027,True
U000258,2026-03-06,USA,32,Male,Direct,Mobile,,CMP0044,True
U000259,2023-07-26,India,29,Female,Paid Social,Mobile,,CMP0025,True
U000260,2024-12-14,USA,42,Female,Paid Social,Smart TV,,CMP0018,False
U000261,2026-06-11,Nigeria,18,Male,Organic,Smart TV,,CMP0040,True
U000262,2024-02-25,India,48,Male,Email,Mobile,,CMP0056,True
U000263,2023-06-07,USA,22,Female,Paid Search,Smart TV,,CMP0020,False
U000264,2024-01-12,France,43,Male,Paid Search,Smart TV,,CMP0037,False
U000265,2023-07-17,France,46,Other,Paid Social,Mobile,,CMP0048,True
U000266,2025-01-11,UK,26,Male,Direct,Desktop,,CMP0008,True
U000267,2023-07-18,Canada,27,Male,Organic,Mobile,,CMP0001,True
U000268,2024-09-24,India,30,Male,Referral,Smart TV,U000238,CMP0031,True
U000269,2023-12-27,UK,38,Female,Referral,Mobile,U000019,CMP0056,True
U000270,2026-04-08,UK,22,Male,Organic,Smart TV,,CMP0026,True
U000271,2023-09-20,South Korea,30,Male,Paid Search,Desktop,,CMP0011,False
U000272,2025-03-06,Japan,28,Male,Organic,Mobile,,CMP0049,True
U000273,2025-08-09,France,20,Male,Organic,Smart TV,,CMP0050,False
U000274,2025-01-27,France,21,Male,Organic,Smart TV,,CMP0056,True
U000275,2026-03-04,Brazil,33,Male,Organic,Desktop,,CMP0050,False
U000276,2025-10-22,India,33,Female,Referral,Desktop,U000053,CMP0013,False
U000277,2025-02-19,France,24,Male,Organic,Desktop,,CMP0024,True
U000278,2025-10-14,USA,32,Male,Paid Search,Desktop,,CMP0044,False
U000279,2026-05-23,USA,25,Other,Paid Social,Mobile,,CMP0041,True
U000280,2023-05-08,USA,45,Female,Organic,Mobile,,CMP0033,True
U000281,2025-06-03,Japan,30,Other,Organic,Tablet,,CMP0029,True
U000282,2025-09-30,Mexico,42,Male,Paid Social,Smart TV,,CMP0055,False
U000283,2023-04-04,India,15,Male,Referral,Mobile,U000085,CMP0049,True
U000284,2025-02-10,India,35,Male,Paid Social,Smart TV,,CMP0005,True
U000285,2026-05-21,Australia,37,Female,Paid Search,Mobile,,CMP0040,False
U000286,2024-11-15,USA,30,Female,Email,Desktop,,CMP0043,True
U000287,2025-01-15,India,26,Female,Influencer,Mobile,,CMP0030,False
U000288,2025-03-27,Japan,30,Male,Organic,Mobile,,CMP0059,False
U000289,2024-03-18,Germany,39,Female,Referral,Desktop,U000273,CMP0020,False
U000290,2024-09-14,India,19,Female,Affiliate,Mobile,,CMP0035,True
U000291,2022-10-16,UK,39,Female,Organic,Tablet,,CMP0001,True
U000292,2025-07-21,Nigeria,35,Female,Organic,Tablet,,CMP0019,False
U000293,2026-03-27,India,29,Female,Organic,Mobile,,CMP0059,False
U000294,2024-04-29,Philippines,29,Male,Organic,Tablet,,CMP0040,True
U000295,2025-11-28,South Korea,32,Female,Organic,Tablet,,CMP0041,True
U000296,2024-08-12,Philippines,48,Male,Organic,Mobile,,CMP0002,True
U000297,2025-04-06,USA,35,Female,Paid Search,Mobile,,CMP0005,True
U000298,2026-06-29,India,22,Male,Referral,Desktop,U000213,CMP0034,False
U000299,2025-03-20,UK,27,Female,Paid Search,Mobile,,CMP0007,True
U000300,2025-11-05,UK,20,Male,Paid Social,Desktop,,CMP0024,True
U000301,2025-09-14,UK,13,Male,Paid Search,Desktop,,CMP0023,True
U000302,2024-12-31,India,20,Female,Affiliate,Smart TV,,CMP0007,False
U000303,2025-07-22,India,33,Female,Paid Search,Desktop,,CMP0058,True
U000304,2024-11-21,Germany,44,Female,Paid Search,Desktop,,CMP0055,True
U000305,2026-06-06,Canada,41,Female,Direct,Desktop,,CMP0054,True
U000306,2026-05-07,UK,20,Male,Paid Search,Tablet,,CMP0029,True
U000307,2023-01-09,India,24,Male,Paid Search,Mobile,,CMP0007,False
U000308,2024-11-05,France,22,Male,Organic,Mobile,,CMP0053,False
U000309,2025-04-10,USA,13,Male,TV/OTT,Mobile,,CMP0055,True
U000310,2024-06-14,Japan,30,Male,Paid Search,Smart TV,,CMP0016,True
U000311,2025-09-28,Canada,40,Male,Referral,Mobile,U000104,CMP0043,True
U000312,2025-11-28,Mexico,29,Other,Affiliate,Desktop,,CMP0019,True
U000313,2024-03-30,Japan,19,Male,TV/OTT,Mobile,,CMP0051,False
U000314,2025-12-15,Brazil,23,Female,Email,Mobile,,CMP0060,True
U000315,2024-09-16,Germany,28,Female,Organic,Smart TV,,CMP0022,True
U000316,2024-07-04,Indonesia,39,Female,Organic,Mobile,,CMP0034,False
U000317,2022-11-13,USA,30,Female,TV/OTT,Desktop,,CMP0037,True
U000318,2025-09-06,India,38,Female,Organic,Desktop,,CMP0023,True
U000319,2024-01-23,Indonesia,31,Female,Influencer,Smart TV,,CMP0059,True
U000320,2026-04-07,Australia,34,Male,Paid Search,Smart TV,,CMP0046,False
U000321,2023-05-05,Mexico,22,Male,Paid Search,Mobile,,CMP0025,True
U000322,2025-02-21,UK,25,Female,Organic,Mobile,,CMP0004,False
U000323,2024-09-13,Canada,19,Male,Direct,Mobile,,CMP0015,True
U000324,2022-10-30,Philippines,38,Female,Organic,Tablet,,CMP0047,True
U000325,2026-03-30,France,29,Male,Paid Social,Desktop,,CMP0001,True
U000326,2023-12-26,UK,13,Female,Referral,Tablet,U000192,CMP0010,True
U000327,2025-01-28,USA,36,Male,Paid Search,Tablet,,CMP0028,True
U000328,2024-10-30,South Korea,41,Female,Organic,Smart TV,,CMP0002,True
U000329,2024-06-16,Mexico,23,Female,Organic,Mobile,,CMP0013,False
U000330,2025-05-30,Nigeria,36,Female,Organic,Desktop,,CMP0060,True
U000331,2025-10-14,India,29,Male,Direct,Mobile,,CMP0058,False
U000332,2023-09-02,India,13,Female,Paid Search,Mobile,,CMP0013,True
U000333,2025-08-03,Canada,51,Male,Organic,Mobile,,CMP0026,False
U000334,2022-06-03,Brazil,29,Male,Paid Search,Smart TV,,CMP0054,True
U000335,2025-07-20,Canada,34,Female,Paid Social,Desktop,,CMP0005,True
U000336,2023-05-28,USA,25,Male,Paid Social,Smart TV,,CMP0031,False
U000337,2026-04-05,Canada,29,Male,Organic,Smart TV,,CMP0051,True
U000338,2024-09-21,USA,33,Female,Organic,Desktop,,CMP0010,True
U000339,2026-05-23,Australia,21,Male,Referral,Mobile,U000177,CMP0058,False
U000340,2023-12-13,UK,48,Male,Direct,Smart TV,,CMP0032,False
U000341,2023-08-26,India,40,Female,Paid Social,Mobile,,CMP0002,False
U000342,2026-03-22,Germany,37,Other,Organic,Desktop,,CMP0012,True
U000343,2024-06-02,USA,30,Male,Email,Mobile,,CMP0055,True
U000344,2026-05-29,Brazil,24,Male,Paid Search,Desktop,,CMP0005,True
U000345,2023-02-08,Philippines,42,Other,Referral,Desktop,U000147,CMP0045,True
U000346,2025-06-22,Mexico,38,Female,Organic,Smart TV,,CMP0019,False
U000347,2023-06-14,Brazil,28,Female,Email,Mobile,,CMP0011,True
U000348,2025-01-29,Australia,21,Male,Organic,Mobile,,CMP0030,True
U000349,2025-03-27,Nigeria,16,Female,Referral,Mobile,U000081,CMP0045,False
U000350,2022-06-16,Australia,32,Female,Paid Search,Desktop,,CMP0040,True
U000351,2023-08-07,India,29,Male,Paid Search,Smart TV,,CMP0019,False
U000352,2026-06-01,Mexico,43,Female,Organic,Desktop,,CMP0021,True
U000353,2025-12-11,Brazil,41,Male,Influencer,Mobile,,CMP0030,True
U000354,2026-01-06,Canada,32,Male,Paid Search,Mobile,,CMP0018,False
U000355,2026-01-30,India,31,Female,Paid Search,Mobile,,CMP0038,False
